#,Clubes,Despesas,Entradas,Receitas,Saídas,Saldo
1,Manchester City FC,"213,50 M €",40,"35,35 M €",23,"-178,15 M €"
2,Manchester United FC,"185,00 M €",11,"47,15 M €",14,"-137,85 M €"
3,Chelsea FC,"132,80 M €",41,"108,40 M €",30,"-24,40 M €"
4,FC Arsenal,"113,04 M €",14,"10,35 M €",12,"-102,69 M €"
5,Crystal Palace FC,"101,30 M €",24,"50,20 M €",25,"-51,10 M €"
6,Leicester City FC,"91,60 M €",17,"66,05 M €",19,"-25,55 M €"
7,FC Everton,"85,90 M €",21,"60,80 M €",20,"-25,10 M €"
8,Tottenham Hotspur,"83,60 M €",11,"52,30 M €",9,"-31,30 M €"
9,West Ham United,"83,50 M €",20,"41,00 M €",18,"-42,50 M €"
10,FC Liverpool,"79,90 M €",20,"85,38 M €",19,"5,48 M €"
11,FC Watford,"69,95 M €",38,"58,10 M €",35,"-11,85 M €"
12,FC Southampton,"68,90 M €",13,"85,05 M €",10,"16,15 M €"
13,Swansea City AFC,"58,20 M €",23,"48,60 M €",18,"-9,60 M €"
14,FC Middlesbrough,"47,95 M €",21,"13,50 M €",21,"-34,45 M €"
15,FC Burnley,"45,60 M €",27,"1,20 M €",26,"-44,40 M €"
16,AFC Sunderland,"41,90 M €",25,"23,77 M €",23,"-18,13 M €"
17,Bournemouth AFC,"40,69 M €",20,"25,49 M €",26,"-15,20 M €"
18,Hull City,"40,00 M €",25,"28,90 M €",20,"-11,10 M €"
19,Stoke City,"38,55 M €",16,"3,80 M €",14,"-34,75 M €"
20,West Bromwich Albion,"37,90 M €",12,"26,98 M €",13,"-10,93 M €"
